epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.9917,1.64998,4.02888,1.51772,0.00646,0.45833,0.04329,0.01711,1.49167,3.80402,1.38511,0.000393519,0.000393519,0.000393519
2,9.14783,1.45745,2.73147,1.36412,0.01356,0.79453,0.29773,0.16041,1.33256,3.3685,1.30443,0.000790133,0.000790133,0.000790133
3,13.5771,1.47286,2.3016,1.33384,0.66245,0.29076,0.33989,0.17944,1.49157,2.75131,1.30412,0.00116612,0.00116612,0.00116612
4,17.517,1.51167,2.19319,1.34564,0.65414,0.37346,0.39325,0.20317,1.53745,2.41964,1.33439,0.00115719,0.00115719,0.00115719
5,20.5661,1.42084,2.07205,1.30602,0.6645,0.41096,0.44497,0.26277,1.40438,2.08918,1.32674,0.00112625,0.00112625,0.00112625
6,23.6871,1.46212,2.02533,1.32422,0.48252,0.62313,0.53479,0.29884,1.44395,2.60813,1.38389,0.00109531,0.00109531,0.00109531
7,27.3342,1.41036,1.85905,1.26533,0.68056,0.57674,0.61516,0.35387,1.35638,2.36994,1.2944,0.00106437,0.00106437,0.00106437
8,31.9486,1.36507,1.76401,1.25809,0.38448,0.5696,0.4513,0.25,1.43708,6.64989,1.38548,0.00103344,0.00103344,0.00103344
9,34.9591,1.34258,1.64854,1.24167,0.60427,0.62517,0.63035,0.36928,1.31546,2.90605,1.28725,0.0010025,0.0010025,0.0010025
10,38.1812,1.29124,1.65125,1.24127,0.74683,0.56795,0.71185,0.39341,1.32128,2.01115,1.24884,0.000971562,0.000971562,0.000971562
11,41.2192,1.33759,1.65693,1.24981,0.7743,0.6198,0.71422,0.40351,1.32168,1.65416,1.24626,0.000940625,0.000940625,0.000940625
12,46.5394,1.28994,1.53265,1.18891,0.71302,0.67078,0.71673,0.41954,1.31838,1.60928,1.24209,0.000909688,0.000909688,0.000909688
13,50.4309,1.21345,1.35974,1.16111,0.73141,0.66867,0.76658,0.47239,1.22479,1.5878,1.1686,0.00087875,0.00087875,0.00087875
14,53.5508,1.2425,1.37714,1.14734,0.79221,0.62981,0.76439,0.46732,1.25566,1.4903,1.19033,0.000847813,0.000847813,0.000847813
15,56.811,1.22069,1.45136,1.19029,0.82555,0.72045,0.83079,0.50577,1.2594,1.50065,1.20586,0.000816875,0.000816875,0.000816875
16,61.5999,1.27574,1.38711,1.23908,0.75762,0.78852,0.83952,0.52148,1.20004,1.39424,1.18365,0.000785938,0.000785938,0.000785938
17,64.792,1.19424,1.33313,1.20051,0.79551,0.79374,0.83148,0.52,1.24377,1.32944,1.2352,0.000755,0.000755,0.000755
18,67.7805,1.19847,1.33597,1.18024,0.7949,0.78318,0.85771,0.53471,1.25843,1.33994,1.20631,0.000724062,0.000724062,0.000724062
19,70.8445,1.16664,1.23469,1.16474,0.84105,0.77644,0.84075,0.54292,1.14084,1.22604,1.12254,0.000693125,0.000693125,0.000693125
20,75.332,1.19044,1.24111,1.16307,0.83672,0.79866,0.84037,0.53865,1.15403,1.20776,1.13502,0.000662188,0.000662188,0.000662188
